Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Steelers,49ers,7,11,232,2,41,5,6,5,15,1,3,-1.5,19.5,40.5
2,Rams,49ers,23,10,307,2,89,1,2,7,14,1,2,-7.5,18.5,44.5
3,Ginats,49ers,12,10,137,1,29,2,6,3,12,0,0,-10.5,16.5,43.5
4,Cardinals,49ers,16,7,265,0,105,1,3,8,15,2,3,-13.5,15,43.5
5,Cowboys,49ers,10,13,161,4,57,4,5,4,11,0,1,-3.5,20.5,44.5
6,Browns,49ers,19,13,192,2,160,2,4,3,13,1,1,-9.5,13,35.5
7,Vikings,49ers,22,9,378,1,74,0,1,8,13,0,0,-6.5,19,44.5
8,Bengals,49ers,31,10,283,1,134,3,3,3,8,0,0,-4.5,19.5,43.5
10,Jaguars,49ers,3,10,171,4,59,2,3,4,12,1,2,-3.5,20.5,44.5
11,Buccs,49ers,14,10,246,2,66,4,3,7,14,1,3,-13.5,14.5,42.5
12,Seahawks,49ers,13,10,180,2,88,6,5,3,11,0,1,-7.5,18,43.5
13,Eagles,49ers,19,9,314,0,46,3,3,8,15,1,2,-3.5,22,47.5
14,Seahawks,49ers,16,12,269,2,70,4,6,2,11,0,1,-14.5,15,44.5
15,Cardinals,49ers,29,10,211,2,234,3,2,7,16,3,4,-13.5,17.5,48.5
16,Ravens,49ers,33,12,252,0,102,2,3,4,11,1,1,-6.5,20.5,47.5
17,Commanders,49ers,10,9,169,2,62,1,3,3,9,0,1,-14.5,17.5,49.5
18,Rams,49ers,21,9,163,1,109,2,2,9,15,3,4,-5.5,17.5,40.5
Divisional,Packers,49ers,21,10,194,2,136,0,1,7,13,0,1,-10.5,20,50.5
Conference,Lions,49ers,31,10,273,1,182,2,2,6,12,1,3,-7.5,23,53.5
Superbowl,Chiefs,49ers,25,13,317,2,130,3,5,9,19,1,1,-1.5,22.5,46.5
