Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Dolphins,Chargers,36,11,466,2,70,0,1,4,9,1,1,3.5,26.5,49.5
3,Vikings,Chargers,24,11,367,2,130,4,3,4,14,2,3,-2.5,24.5,51.5
4,Raiders,Chargers,17,11,238,3,76,7,5,1,11,3,3,-7.5,20,47.5
6,Cowboys,Chargers,20,10,272,1,96,5,4,5,13,1,2,1.5,25.5,49.5
7,Chiefs,Chargers,31,11,424,2,68,1,3,6,11,0,0,5.5,26.5,47.5
8,Bears,Chargers,13,11,232,2,73,1,3,6,14,1,4,-9.5,17.5,44.5
9,Jets,Chargers,6,13,263,3,64,8,7,3,17,3,4,-3.5,19,41.5
10,Lions,Chargers,41,10,333,0,200,0,1,4,13,4,5,2.5,26,49.5
11,Packers,Chargers,23,11,322,0,102,3,4,7,14,0,1,-2.5,21,44.5
12,Ravens,Chargers,20,11,177,0,197,2,3,4,13,1,3,3.5,26.5,49.5
13,Patriots,Chargers,0,11,141,1,148,5,7,4,14,1,3,-4.5,17,38.5
14,Broncos,Chargers,24,13,224,1,106,2,7,8,17,0,0,-3.5,21,45.5
15,Raiders,Chargers,63,13,260,0,124,1,6,9,16,0,0,3.5,20,36.5
16,Bills,Chargers,24,10,237,3,105,1,4,5,10,0,0,12.5,29,45.5
17,Broncos,Chargers,16,11,224,0,101,2,5,7,17,1,1,3.5,21,38.5
18,Chiefs,Chargers,13,10,154,1,123,1,6,6,16,1,1,-3.5,16.5,36.5
